表名稱,欄位名稱,位序,預設值,空值,資料型別,長度,主鍵,欄位描述
A_C_LifeStyle,SID,1,,NO,int,,V,
A_C_LifeStyle,Name,2,,NO,nvarchar,50,,
A_C_Origin,SID,1,,NO,int,,V,
A_C_Origin,Name,2,,YES,nvarchar,50,,
A_C_TreeStyle,SID,1,,NO,int,,V,
A_C_TreeStyle,Name,2,,NO,nvarchar,50,,樹木型態
A_County,SID,1,,NO,int,,V,
A_County,Code,2,,YES,char,1,,
A_County,Name,3,,YES,nvarchar,10,,
A_County,Geometry,4,,YES,geometry,-1,,
A_Function,SID,1,,NO,int,,V,
A_Function,ModuleID,2,,YES,int,,,
A_Function,PageID,3,,YES,nvarchar,50,,
A_Function,Module,4,,YES,nvarchar,50,,模組名稱
A_Function,Page,5,,YES,nvarchar,50,,子頁面名稱
A_Function,Button,6,,YES,nvarchar,50,,按鈕名稱
A_Right,SID,1,,NO,int,,V,
A_Right,RID,2,,NO,int,,,D_C_Role的SID
A_Right,FID,3,,NO,int,,,A_Function的SID
A_Right,Relation,4,((0)),NO,bit,,,是否只能使用帳號關聯資料
A_Town,SID,1,,NO,int,,V,
A_Town,CountyCode,2,,YES,char,1,,
A_Town,Code,3,,YES,char,2,,
A_Town,Name,4,,YES,nvarchar,10,,
A_Town,Geometry,5,,YES,geometry,-1,,
A_TreeKind,SID,1,,NO,int,,V,
A_TreeKind,UID,2,,NO,varchar,10,,樹種編碼
A_TreeKind,KindName,3,,NO,nvarchar,50,,代表名稱
A_TreeKind,ScientificName,4,,NO,varchar,200,,完整學名
A_TreeKind,CommonName_C,5,,NO,nvarchar,200,,通用俗名
A_TreeKind,FamilyName,6,,NO,varchar,200,,科名
A_TreeKind,FamilyName_C,7,,NO,nvarchar,200,,科名(中文)
A_TreeKind,GenericName,8,,NO,varchar,200,,
A_TreeKind,GenericName_C,9,,NO,nvarchar,200,,
A_TreeKind,LifeStyle,10,,NO,int,,,A_C_LifeStyle的Sid
A_TreeKind,TreeStyle,11,,NO,int,,,A_C_TreeStyle的Sid
A_TreeKind,Origin,12,,NO,int,,,A_C_Origin的Sid
A_TreeKind,State,13,((1)),NO,bit,,,是否可用
A_TreeKind,SpecificName,14,,YES,varchar,100,,
A_TreeKind,HybridSymbol,15,,YES,varchar,5,,
A_TreeKind,Rank,16,,YES,varchar,20,,
A_TreeKind,InfraSpecificEpithet,17,,YES,varchar,100,,
A_TreeKind,Annotation,18,,YES,varchar,255,,
A_TreeTag,SID,1,,NO,int,,V,
A_TreeTag,GID,2,,YES,int,,,群組
A_TreeTag,PID,3,,YES,int,,,場域
A_TreeTag,UserID,4,,YES,int,,,使用者
A_TreeTag,Name,5,,NO,nvarchar,50,,標籤名稱
A_TreeTag,State,6,((1)),NO,bit,,,是否顯示
D_C_ContactType,SID,1,,NO,int,,V,
D_C_ContactType,Name,2,,NO,nvarchar,50,,
D_C_ContactType,State,3,((1)),NO,bit,,,是否可用 1:可用 0:隱藏
D_C_Role,SID,1,,NO,int,,V,
D_C_Role,Name,2,,NO,nvarchar,50,,
D_C_Role,State,3,((1)),NO,bit,,,是否停用
D_C_Type,SID,1,,NO,int,,V,
D_C_Type,Name,2,,YES,nvarchar,50,,
D_C_Type,State,3,((1)),YES,bit,,,是否啟用
D_ContactList,SID,1,,NO,int,,V,
D_ContactList,Company,2,,NO,nvarchar,50,,公司名稱
D_ContactList,ContactName,3,,NO,nvarchar,50,,聯絡人
D_ContactList,Email,4,,NO,varchar,100,,信箱
D_ContactList,Phone,5,,NO,varchar,50,,電話
D_ContactList,Type,6,,NO,int,,,"類型,來自D_C_ContactType的Sid"
D_ContactList,Note,7,,YES,nvarchar,200,,補充說明
D_Group,SID,1,,NO,int,,V,
D_Group,Name,2,,NO,nvarchar,50,,廠商群組名稱
D_Group,LeaderID,3,,NO,int,,,負責人的帳號ID
D_Group,HashCode,4,,NO,varchar,50,,作為用來手動匯入團隊的唯一識別碼
D_Group,CreateTime,5,,YES,datetime2,,,建立時間
D_Group,DestroyTime,6,,YES,datetime2,,,刪除時間
D_GroupOrigin,SID,1,,NO,int,,V,
D_GroupOrigin,GID,2,,YES,int,,,D_Group的SID
D_GroupOrigin,OID,3,,YES,int,,,D_OriginAccount的SID
D_GroupUser,SID,1,,NO,int,,V,
D_GroupUser,UserID,2,,NO,int,,,
D_GroupUser,GID,3,,NO,int,,,
D_OriginAccount,SID,1,,NO,int,,V,
D_OriginAccount,UserKey,2,,NO,char,36,,母帳號登入用Key
D_OriginAccount,Password,3,,NO,varchar,50,,母帳號密碼
D_OriginAccount,Name,4,,NO,nvarchar,50,,客戶名稱
D_OriginAccount,ContactName,5,,YES,nvarchar,50,,聯絡人
D_OriginAccount,Email,6,,YES,varchar,50,,Email信箱
D_OriginAccount,Phone,7,,YES,varchar,20,,連絡電話
D_OriginAccount,Note,8,,YES,nvarchar,500,,備註
D_OriginAccount,StartTime,9,,NO,date,,,起始時間
D_OriginAccount,EndTime,10,,NO,date,,,結束時間
D_OriginAccount,Type,11,,NO,int,,,方案類型代碼
D_OriginAccount,State,12,((1)),NO,bit,,,是否停用
D_OriginUser,SID,1,,NO,int,,V,
D_OriginUser,UserID,2,,NO,int,,,
D_OriginUser,OID,3,,NO,int,,,
D_OriginUser,Role,4,,YES,int,,,
D_UserList,SID,1,,NO,int,,V,
D_UserList,Account,2,,NO,varchar,50,,英數字帳號
D_UserList,Role,3,((2)),NO,int,,,1:業主 2:組長 3:組員
D_UserList,Name,4,,NO,nvarchar,50,,顯示名稱
D_UserList,NickName,5,,YES,nvarchar,50,,
D_UserList,Password1,6,,NO,varchar,500,,密碼
D_UserList,Password2,7,,YES,varchar,500,,密碼
D_UserList,Company,8,,YES,nvarchar,50,,公司名稱
D_UserList,Title,9,,YES,nvarchar,50,,職位
D_UserList,Phone,10,,YES,varchar,20,,
D_UserList,Email,11,,YES,varchar,50,,Email
D_UserList,OID,12,,YES,int,,,D_OriginAccount的SID
D_UserList,CreateToken,13,,YES,varchar,50,,驗證信代碼
D_UserList,CreateTime,14,,NO,datetime2,,,建立時間
D_UserList,DestroyTime,15,,YES,datetime2,,,刪除時間
D_UserList,State,16,((1)),NO,smallint,,,啟用狀態：0停用、1啟用、2待審核
D_UserList,Salt,17,(''),NO,varchar,50,,
D_UserList,PasswordResetToken,18,,YES,nvarchar,100,,
D_UserList,RegistrationNote,19,,YES,nvarchar,1000,,
E_GeoData,SID,1,,NO,int,,V,
E_GeoData,PID,2,,NO,int,,,E_ProjectList的Sid
E_GeoData,Name,3,,YES,nvarchar,50,,範圍的名稱
E_GeoData,Geom,4,,NO,geometry,-1,,
